id,object_1,object_2,object_3,object_4,object_5,object_6,object_7,object_8,object_9,object_10,object_11,object_12,object_13,object_14,object_15,object_16,object_17
101,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,
102,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
103,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,
104,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,
105,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,mirror,lamp,toilet,shelf,,,,,,,
106,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,
109,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
111,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
112,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
113,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
114,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
116,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
117,bathtub,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,,
118,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
119,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,
120,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,
121,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
122,bathtub,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,
123,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
124,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
125,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,
126,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
127,bathtub,shower,shower screen,bathroom vanity,sink,mirror,toilet,shelf,soap bottle,picture,window,plant,,,,,
129,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant,
130,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
131,bathtub,shampoo bottle,shower,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,,
132,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
134,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,mirror,lamp,toilet,shelf,soap bottle,picture,window,,,,
135,bathtub,shampoo bottle,shower screen,bathroom vanity,sink,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,,,,
136,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,plant,
137,bathtub,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,plant,,
138,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
139,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,window,plant
140,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,
141,bathtub,shampoo bottle,shower,shower screen,bathroom vanity,sink,toothbrush,cup,soap,mirror,lamp,toilet,shelf,soap bottle,picture,,
